[19:11:49] Emotion=Focused (70%%), KPM=136, Mouse=8728, Clicks=28
[19:12:04] Emotion=Normal (82%%), KPM=59, Mouse=16057, Clicks=26
[19:12:19] Emotion=Focused (84%%), KPM=214, Mouse=7939, Clicks=49
[19:12:34] Emotion=Normal (80%%), KPM=84, Mouse=14770, Clicks=47
[19:12:49] Emotion=Focused (85%%), KPM=254, Mouse=14688, Clicks=33
[19:13:04] Emotion=Normal (64%%), KPM=151, Mouse=5163, Clicks=21
[19:13:19] Emotion=Tired (94%%), KPM=169, Mouse=19465, Clicks=39
[19:13:34] Emotion=Normal (71%%), KPM=240, Mouse=17043, Clicks=29
[19:13:49] Emotion=Tired (66%%), KPM=227, Mouse=11950, Clicks=29
[19:14:04] Emotion=Normal (68%%), KPM=72, Mouse=15006, Clicks=32
[19:14:19] Emotion=Focused (98%%), KPM=55, Mouse=5918, Clicks=42
[19:14:44] Emotion=Focused (98%%), KPM=181, Mouse=3868, Clicks=23
[19:14:59] Emotion=Focused (85%%), KPM=216, Mouse=15562, Clicks=27
[19:15:14] Emotion=Stressed (66%%), KPM=293, Mouse=2983, Clicks=25
[19:15:29] Emotion=Normal (78%%), KPM=300, Mouse=12638, Clicks=31
[19:15:44] Emotion=Focused (81%%), KPM=137, Mouse=5102, Clicks=34
[19:15:59] Emotion=Focused (84%%), KPM=172, Mouse=4936, Clicks=44
[19:16:14] Emotion=Focused (99%%), KPM=86, Mouse=10955, Clicks=11
[19:16:29] Emotion=Normal (69%%), KPM=226, Mouse=7307, Clicks=23
[19:16:44] Emotion=Normal (60%%), KPM=264, Mouse=18171, Clicks=38
[19:16:59] Emotion=Normal (76%%), KPM=100, Mouse=13592, Clicks=39
[19:17:14] Emotion=Tired (85%%), KPM=88, Mouse=4352, Clicks=46
[19:17:29] Emotion=Focused (92%%), KPM=258, Mouse=16160, Clicks=27
[19:17:44] Emotion=Normal (74%%), KPM=75, Mouse=8746, Clicks=30
[19:17:59] Emotion=Normal (71%%), KPM=192, Mouse=10836, Clicks=24
[19:18:14] Emotion=Normal (82%%), KPM=212, Mouse=7040, Clicks=17
[19:18:29] Emotion=Normal (98%%), KPM=244, Mouse=6281, Clicks=17
[19:18:44] Emotion=Focused (67%%), KPM=219, Mouse=8557, Clicks=33
[19:18:59] Emotion=Focused (60%%), KPM=244, Mouse=10613, Clicks=37
[19:19:14] Emotion=Focused (77%%), KPM=276, Mouse=6095, Clicks=13
[19:19:29] Emotion=Normal (68%%), KPM=246, Mouse=9088, Clicks=42
[19:19:44] Emotion=Normal (92%%), KPM=122, Mouse=17609, Clicks=45
[19:19:59] Emotion=Stressed (60%%), KPM=112, Mouse=12542, Clicks=43
[19:25:26] Stressed(84%) KPM=264 Mouse=17594 Clicks=40
[19:30:56] Focused (74%) | KPM=265 | Mouse=5847 | Clicks=40
[19:36:17] Normal (97%) | KPM=228 | Mouse=14506 | Clicks=10
[19:36:32] Normal (88%) | KPM=52 | Mouse=4196 | Clicks=16
[19:36:47] Stressed (74%) | KPM=216 | Mouse=19163 | Clicks=16
[19:37:02] Focused (81%) | KPM=124 | Mouse=17022 | Clicks=10
[19:37:17] Tired (99%) | KPM=69 | Mouse=17301 | Clicks=15
[19:37:32] Stressed (93%) | KPM=290 | Mouse=15108 | Clicks=29
[19:37:47] Focused (91%) | KPM=184 | Mouse=18157 | Clicks=16
[19:38:02] Focused (90%) | KPM=252 | Mouse=18861 | Clicks=23
[19:38:17] Focused (98%) | KPM=275 | Mouse=18079 | Clicks=29
[19:38:32] Normal (94%) | KPM=118 | Mouse=4454 | Clicks=31
[19:38:47] Focused (91%) | KPM=94 | Mouse=11130 | Clicks=49
[19:39:02] Normal (70%) | KPM=109 | Mouse=15077 | Clicks=27
[19:39:17] Focused (69%) | KPM=261 | Mouse=10941 | Clicks=25
[19:39:32] Stressed (91%) | KPM=276 | Mouse=11786 | Clicks=40
[19:39:47] Focused (64%) | KPM=152 | Mouse=15386 | Clicks=26
[19:40:02] Stressed (99%) | KPM=91 | Mouse=11391 | Clicks=13
[19:40:17] Focused (90%) | KPM=237 | Mouse=2454 | Clicks=10
[19:40:32] Tired (76%) | KPM=254 | Mouse=17558 | Clicks=10
[19:40:47] Focused (79%) | KPM=150 | Mouse=3375 | Clicks=16
[19:48:48] Normal (100%) | KPM=229 | Mouse=3133 | Clicks=23
[19:49:03] Normal (72%) | KPM=232 | Mouse=7784 | Clicks=25
[19:49:18] Tired (97%) | KPM=274 | Mouse=4474 | Clicks=36
[19:49:33] Normal (84%) | KPM=196 | Mouse=2274 | Clicks=12
[19:49:48] Normal (74%) | KPM=153 | Mouse=17727 | Clicks=21
[19:50:03] Tired (84%) | KPM=263 | Mouse=9894 | Clicks=42
[19:50:18] Tired (87%) | KPM=152 | Mouse=16220 | Clicks=24
[19:50:33] Normal (99%) | KPM=299 | Mouse=19493 | Clicks=19
[19:50:48] Tired (95%) | KPM=179 | Mouse=5457 | Clicks=31
[19:51:03] Tired (75%) | KPM=114 | Mouse=18225 | Clicks=18
[19:51:18] Normal (66%) | KPM=75 | Mouse=14061 | Clicks=20
[19:51:33] Stressed (97%) | KPM=51 | Mouse=3890 | Clicks=49
[19:51:48] Normal (97%) | KPM=182 | Mouse=12282 | Clicks=47
[19:52:03] Focused (82%) | KPM=75 | Mouse=14303 | Clicks=33
[19:52:18] Focused (78%) | KPM=270 | Mouse=4648 | Clicks=46
[19:52:33] Normal (99%) | KPM=146 | Mouse=16529 | Clicks=17
[19:52:48] Tired (80%) | KPM=166 | Mouse=16466 | Clicks=23
[19:53:03] Normal (99%) | KPM=293 | Mouse=14633 | Clicks=31
